"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
9169,"Captain Munnerlyn","CB","CAR","BUF",2,75,100,0,0,0,0,0,9.3
184,"David Harris","ILB","NYJ","NE",2,65,100,0,0,0,0,0,9.2
2670,"Charles Woodson","SS","OAK","JAX",2,65,97,0,0,0,0,0,9.2
9118,"William Moore","SS","ATL","LA",2,77,100,0,0,0,0,0,9.1
5094,"Marques Colston","WR","NO","TB",2,69,95,0,10,6,10,10.3,9.1
5476,"DeMeco Ryans","ILB","PHI","SD",2,83,100,0,0,0,0,0,9
4490,"Johnathan Joseph","CB","HOU","TEN",2,67,96,0,0,0,0,0,9
9049,"Brad Jones","ILB","GB","WAS",2,61,100,0,0,0,0,0,9
13104,"Shareece Wright","CB","SD","PHI",2,57,97,0,0,0,0,0,8.8
15417,"Kenbrell Thompkins","WR","NE","NYJ",2,54,83,0,13,4,13,6.7,8.7
13894,"Tashaun Gipson","FS","CLE","BAL",2,70,97,0,0,0,0,0,8.6
5442,"Donte Whitner","SS","SF","SEA",2,70,92,0,0,0,0,0,8.6
8231,"Derrick Johnson","ILB","KC","DAL",2,64,100,0,0,0,0,0,8.6
8564,"Nate Washington","WR","TEN","HOU",2,58,83,0,9,5,9,8,8.6
6211,"Harry Douglas","WR","ATL","LA",2,50,78,0,10,8,10,8.3,8.6
4901,"Ike Taylor","CB","PIT","CIN",2,82,100,0,0,0,0,0,8.5
384,"Stephen Tulloch","ILB","DET","ARI",2,71,100,0,0,0,0,0,8.5
14631,"Josh Robinson","CB","MIN","CHI",2,65,97,0,0,0,0,0,8.5
15197,"Kenny Vaccaro","SS","NO","TB",2,59,100,0,0,0,0,0,8.5
8507,"Evander Hood","NT","PIT","CIN",2,59,72,0,0,0,0,0,8.5
11613,"Walter Thurmond","S","SEA","SF",2,53,98,0,0,0,0,0,8.5
13285,"Akeem Dent","ILB","ATL","LA",2,60,78,0,0,0,0,0,8.3
14201,"Bill Bentley","CB","DET","ARI",2,54,76,0,0,0,0,0,8.3
3942,"Tramon Williams","CB","GB","WAS",2,61,100,0,0,0,0,0,8.2
11026,"Jermaine Gresham","TE","CIN","PIT",2,81,99,0,11,7,11,12.6,8.1
9827,"Desmond Bryant","DE","CLE","BAL",2,64,89,0,0,0,0,0,8.1
14894,"Sheldon Richardson","OLB","NYJ","NE",2,56,86,0,0,0,0,0,8
6132,"Jarret Johnson","OLB","SD","PHI",2,50,85,0,0,0,0,0,8
3242,"Rashean Mathis","CB","DET","ARI",2,50,70,0,0,0,0,0,8
12167,"Reggie Nelson","FS","CIN","PIT",2,57,100,0,0,0,0,0,7.9
4358,"Steve Smith","WR","CAR","BUF",2,67,85,0,16,8,16,10.2,7.8
14412,"Janoris Jenkins","CB","LA","ATL",2,64,100,0,0,0,0,0,7.8
9274,"James Laurinaitis","ILB","LA","ATL",2,64,100,0,0,0,0,0,7.8
13036,"Justin Houston","OLB","KC","DAL",2,64,100,0,0,0,0,0,7.8
11205,"Eric Berry","SS","KC","DAL",2,64,100,0,0,0,0,0,7.8
10978,"Devin McCourty","FS","NE","NYJ",2,71,100,0,0,0,0,0,7.7
11697,"Santonio Holmes","WR","NYJ","NE",2,66,93,0,9,5,9,8.1,7.7
12740,"Justin Rogers","CB","BUF","CAR",2,74,94,0,0,0,0,0,7.4
12741,"Da'Norris Searcy","SS","BUF","CAR",2,74,94,0,0,0,0,0,7.4
11197,"Demaryius Thomas","WR","DEN","NYG",2,70,95,0,9,7,9,10.2,7.4
7802,"Chris Long","DE","LA","ATL",2,54,84,0,0,0,0,0,7.4
8353,"Patrick Chung","SS","PHI","SD",2,82,99,0,0,0,0,0,7.3
7420,"Lawrence Timmons","ILB","PIT","CIN",2,82,100,0,0,0,0,0,7.3
9051,"Clay Matthews","OLB","GB","WAS",2,55,90,0,0,0,0,0,7.3
12951,"Brooks Reed","DE","HOU","TEN",2,69,99,0,0,0,0,0,7.2
10953,"Nolan Carroll","CB","MIA","IND",2,70,97,0,0,0,0,0,7.1
6304,"Darrelle Revis","CB","TB","NO",2,70,96,0,0,0,0,0,7.1
14340,"Josh Norman","CB","CAR","BUF",2,63,84,0,0,0,0,0,7.1
8595,"Antonio Smith","DE","HOU","TEN",2,56,80,0,0,0,0,0,7.1
8321,"Chris Clemons","ILB","MIA","IND",2,72,100,0,0,0,0,0,6.9
11982,"Nate Burleson","WR","DET","ARI",2,54,92,2,15,15,17,10.7,6.9
5002,"Reggie Wayne","WR","IND","MIA",2,68,94,0,12,7,12,9.6,6.8
7243,"Eric Weddle","SS","SD","PHI",2,59,100,0,0,0,0,0,6.8
8670,"Robert Ayers Jr","DE","DEN","NYG",2,59,75,0,0,0,0,0,6.8
11565,"Andre Roberts","WR","ARI","DET",2,53,75,0,15,6,15,6.6,6.8
