Position,Name...ID,Name,ID,Salary,GameInfo,Team,FirstName,LastName,Opponent,Projection,Projection_dfn,RankTargets,RollingTargetPctg
QB,Paxton Lynch (7852090),Paxton Lynch,7852090,5000,DEN@TEN,Den,Paxton,Lynch,Ten,0,0,0,0
WR,Randall Cobb (7852303),Randall Cobb,7852303,5000,SEA@GB,GB,Randall,Cobb,Sea,11.57,11,3,0.171370968
QB,Ryan Griffin (7852131),Ryan Griffin,7852131,5000,NO@TB,TB,Ryan,Griffin,NO,0,0,0,0
QB,Ryan Nassib (7852121),Ryan Nassib,7852121,5000,DAL@NYG,NYG,Ryan,Nassib,Dal,0,0,0,0
QB,Sean Mannion (7852083),Sean Mannion,7852083,5000,ATL@LA,LA,Sean,Mannion,Atl,0,0,0,0
RB,Todd Gurley (7852167),Todd Gurley,7852167,5000,ATL@LA,LA,Todd,Gurley,Atl,11.01,16.8,5,0.107843137
QB,Tom Savage (7852094),Tom Savage,7852094,5000,HOU@IND,Hou,Tom,Savage,Ind,0,0,0,0
QB,Trevone Boykin (7852137),Trevone Boykin,7852137,5000,SEA@GB,Sea,Trevone,Boykin,GB,0,0,0,0
QB,Zach Mettenberger (7852122),Zach Mettenberger,7852122,5000,PIT@BUF,Pit,Zach,Mettenberger,Buf,0,0,0,0
RB,Carlos Hyde (7852203),Carlos Hyde,7852203,4900,NYJ@SF,SF,Carlos,Hyde,NYJ,15.38,12.5,6,0.069333333
WR,Marvin Jones Jr. (7852271),Marvin Jones Jr.,7852271,4900,CHI@DET,Det,Marvin,Jones,Chi,9.62,12.5,2,0.196832579
RB,Rashad Jennings (7852220),Rashad Jennings,7852220,4900,DAL@NYG,NYG,Rashad,Jennings,Dal,11.81,9.2,5,0.072805139
WR,Tyler Boyd (7852324),Tyler Boyd,7852324,4900,CIN@CLE,Cin,Tyler,Boyd,Cle,11.8,13.2,3,0.147651007
TE,Zach Ertz (7852440),Zach Ertz,7852440,4900,WAS@PHI,Phi,Zach,Ertz,Was,11.67,11.6,2,0.15990991
RB,Devontae Booker (7852175),Devontae Booker,7852175,4800,DEN@TEN,Den,Devontae,Booker,Ten,8.04,12.6,5,0.068627451
WR,Dontrelle Inman (7852383),Dontrelle Inman,7852383,4800,SD@CAR,SD,Dontrelle,Inman,Car,11.58,9.9,2,0.176886792
RB,C.J. Prosise (7852252),C.J. Prosise,7852252,4700,SEA@GB,Sea,C.J.,Prosise,GB,0,0,6,0.051679587
RB,Mike Gillislee (7852214),Mike Gillislee,7852214,4600,PIT@BUF,Buf,Mike,Gillislee,PIT,6.42,3,10,0.030812325
WR,Sterling Shepard (7852369),Sterling Shepard,7852369,4600,DAL@NYG,NYG,Sterling,Shepard,Dal,11.34,13.8,2,0.173447537
WR,Anquan Boldin (7852268),Anquan Boldin,7852268,4500,CHI@DET,Det,Anquan,Boldin,Chi,9.62,12.2,3,0.174208145
RB,Tim Hightower (7852146),Tim Hightower,7852146,4500,NO@TB,NO,Tim,Hightower,TB,7.28,10.4,9,0.039840637
WR,Will Fuller (7852311),Will Fuller,7852311,4500,HOU@IND,Hou,Will,Fuller,Ind,9.54,9.3,3,0.15261959
RB,Alfred Blue (7852180),Alfred Blue,7852180,4400,HOU@IND,Hou,Alfred,Blue,Ind,4.88,3.4,10,0.013667426
RB,Darren Sproles (7852186),Darren Sproles,7852186,4400,WAS@PHI,Phi,Darren,Sproles,Was,0,9.6,4,0.13963964
RB,Fitzgerald Toussaint (7852223),Fitzgerald Toussaint,7852223,4300,PIT@BUF,Pit,Fitzgerald,Toussaint,Buf,1.12,0,13,0.002123142
WR,Taylor Gabriel (7852266),Taylor Gabriel,7852266,4300,ATL@LA,Atl,Taylor,Gabriel,LA,13.75,12.3,4,0.08056872
WR,Mohamed Sanu (7852260),Mohamed Sanu,7852260,4200,ATL@LA,Atl,Mohamed,Sanu,LA,13.95,0,2,0.177725118
WR,Pierre Garcon (7852373),Pierre Garcon,7852373,4200,WAS@PHI,Was,Pierre,Garcon,Phi,13.04,13.1,1,0.182377049
RB,Rob Kelley (7852235),Rob Kelley,7852235,4200,WAS@PHI,Was,Rob,Kelley,Phi,0,12.1,9,0.020491803
TE,Cameron Brate (7852486),Cameron Brate,7852486,4100,NO@TB,TB,Cameron,Brate,NO,11.5,10.4,2,0.15625
RB,Jeremy Langford (7852204),Jeremy Langford,7852204,4100,CHI@DET,Chi,Jeremy,Langford,Det,3.97,4.2,8,0.048387097
WR,Travis Benjamin (7852384),Travis Benjamin,7852384,4100,SD@CAR,SD,Travis,Benjamin,Car,6.12,8.9,3,0.158018868
RB,Benny Cunningham (7852163),Benny Cunningham,7852163,4000,ATL@LA,LA,Benny,Cunningham,Atl,0,0,6,0.051470588
WR,Cameron Meredith (7852344),Cameron Meredith,7852344,4000,CHI@DET,Chi,Cameron,Meredith,Det,10.04,12.5,2,0.149769585
RB,Charles Sims (7852240),Charles Sims,7852240,4000,NO@TB,TB,Charles,Sims,NO,9.82,4.8,7,0.040178571
RB,Kapri Bibbs (7852172),Kapri Bibbs,7852172,4000,DEN@TEN,Den,Kapri,Bibbs,Ten,0,0,12,0.009803922
RB,Ryan Mathews (7852188),Ryan Mathews,7852188,4000,WAS@PHI,Phi,Ryan,Mathews,Was,10.83,6.4,9,0.024774775
RB,Shane Vereen (7852221),Shane Vereen,7852221,4000,DAL@NYG,NYG,Shane,Vereen,Dal,7.2,7.6,10,0.029978587
WR,Ted Ginn Jr. (7852394),Ted Ginn Jr.,7852394,4000,SD@CAR,Car,Ted,Ginn,SD,10.19,9.1,3,0.157407407
