"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"T.J. Yeldon","RB",5600,"JAX","BAL",9.7,4.8,1.86753298198829
"Thomas Rawls","RB",5500,"SEA","SF",0,0,0.0134766211252162
"Arian Foster","RB",5500,"MIA","CLE",0,0,0.0112305176043468
"Sterling Shepard","WR",5500,"NYG","WAS",12,18.3,16.9580815825637
"Carson Wentz","QB",5500,"PHI","PIT",16.6,24,1.18390074672733
"Danny Woodhead","RB",5400,"SD","@IND",0,0,0.00632992810426821
"Corey Coleman","WR",5300,"CLE","@MIA",0,0,0.24890910835816
"Sam Bradford","QB",5300,"MIN","@CAR",13.3,10.6,0.793487116554396
"Jeremy Langford","RB",5200,"CHI","@DAL",13.6,6.6,1.60902688585914
"Allen Hurns","WR",5200,"JAX","BAL",12.4,8,2.83764551177469
"Travis Benjamin","WR",5200,"SD","@IND",17.6,11.2,35.0825034661461
"Rashad Jennings","RB",5100,"NYG","WAS",0,0,0.10781296900173
"Trevor Siemian","QB",5100,"DEN","@CIN",11.1,32,0.17805475183619
"Stefon Diggs","WR",5100,"MIN","@CAR",15.7,8,21.8558124054339
"Tom Savage","QB",5000,"HOU","@NE",0,0,0
"Jacoby Brissett","QB",5000,"NE","HOU",16,14.9,0
"Drew Stanton","QB",5000,"ARI","@BUF",0,0,0.000816764916679769
"EJ Manuel","QB",5000,"BUF","ARI",0,0,0.000612573687509827
"Cardale Jones","QB",5000,"BUF","ARI",0,0,0
"Matt Cassel","QB",5000,"TEN","OAK",0,0,0.000612573687509827
"Matt McGloin","QB",5000,"OAK","@TEN",0,0,0
"Connor Cook","QB",5000,"OAK","@TEN",0,0,0.000816764916679769
"Delanie Walker","TE",5000,"TEN","OAK",0,0,1.8369042976128
"Josh Johnson","QB",5000,"NYG","WAS",0,0,0
"Colt McCoy","QB",5000,"WAS","@NYG",0,0,0.000408382458339884
"Ryan Nassib","QB",5000,"NYG","WAS",0,0,0
"Nate Sudfeld","QB",5000,"WAS","@NYG",0,0,0.000204191229169942
"Matt Moore","QB",5000,"MIA","CLE",0,0,0
"Cody Kessler","QB",5000,"CLE","@MIA",14.4,10.7,0.167640999148523
"Chad Henne","QB",5000,"JAX","BAL",0,0,0.000204191229169942
"Ryan Mallett","QB",5000,"BAL","@JAX",0,0,0
"Brandon Allen","QB",5000,"JAX","BAL",0,0,0.000204191229169942
"Mike Wallace","WR",5000,"BAL","@JAX",10.5,6.9,15.2108172345565
"Dan Orlovsky","QB",5000,"DET","@GB",0,0,0
"Brett Hundley","QB",5000,"GB","DET",0,0,0
"Joe Callahan","QB",5000,"GB","DET",0,0,0
"Austin Davis","QB",5000,"DEN","@CIN",0,0,0.000204191229169942
"AJ McCarron","QB",5000,"CIN","DEN",0,0,0.000408382458339884
"Jeff Driskel","QB",5000,"CIN","DEN",0,0,0
"Paxton Lynch","QB",5000,"DEN","@CIN",0,0,0.000612573687509827
"Derek Anderson","QB",5000,"CAR","MIN",0,0.1,0
"Shaun Hill","QB",5000,"MIN","@CAR",0,0,0.000408382458339884
"Joe Webb","QB",5000,"CAR","MIN",0,0,0
"Case Keenum","QB",5000,"LA","@TB",13,14.7,0.0547232494175445
"Mike Glennon","QB",5000,"TB","LA",0,0,0.000204191229169942
"Ryan Griffin","QB",5000,"TB","LA",0,0,0.000204191229169942
"Sean Mannion","QB",5000,"LA","@TB",0,0,0.000408382458339884
"Jared Goff","QB",5000,"LA","@TB",0,0,0.000612573687509827
"Brandon Weeden","QB",5000,"HOU","@NE",0,0,0
"Christian Ponder","QB",5000,"SF","@SEA",0,0,0.000612573687509827
"Blaine Gabbert","QB",5000,"SF","@SEA",12.4,6,0.0686082530011006
"Trevone Boykin","QB",5000,"SEA","SF",0,5.4,0.000204191229169942
"Christine Michael","RB",5000,"SEA","SF",15.6,28.1,10.568733830607
"Nick Foles","QB",5000,"KC","NYJ",0,0,0.000612573687509827
"Bryce Petty","QB",5000,"NYJ","@KC",0,0,0
"Geno Smith","QB",5000,"NYJ","@KC",0,0,0
"Tyler Bray","QB",5000,"KC","NYJ",0,0,0.000408382458339884
"Christian Hackenberg","QB",5000,"NYJ","@KC",0,0,0
"Kellen Clemens","QB",5000,"SD","@IND",0,0,0
