"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual","Week14","FreqInd"
"TE","Nick O'Leary (7942173)","Nick O'Leary",7942173,2500,"Cle@Buf 01:00PM ET","Buf","Nick","O'Leary","Cle",3.18,1.4,NA,NA,NA,NA,NA,NA,NA,0.7,4.3,0,2.2,0
"TE","Seth DeValve (7942174)","Seth DeValve",7942174,2500,"Cle@Buf 01:00PM ET","Cle","Seth","DeValve","Buf",3.18,1.1,9,0.019271948608137,7,9,1,8,4,0.7,8,1.6,2.1,0
"TE","Danny Vitale (7942175)","Danny Vitale",7942175,2500,"Cle@Buf 01:00PM ET","Cle","Danny","Vitale","Buf",0,0,NA,NA,NA,NA,NA,NA,NA,-0.1,0.7,2.7,NA,0
"TE","Brent Celek (7942176)","Brent Celek",7942176,2500,"Phi@Bal 01:00PM ET","Phi","Brent","Celek","Bal",0,1.4,7,0.0305498981670061,11,15,0,7,8,0,5.8,1.5,2.7,0
"TE","Crockett Gillmore (7942179)","Crockett Gillmore",7942179,2500,"Phi@Bal 01:00PM ET","Bal","Crockett","Gillmore","Phi",0,3.1,10,0.0254545454545455,8,14,1,9,6,-0.8,9.2,0,NA,0
"TE","Trey Burton (7942180)","Trey Burton",7942180,2500,"Phi@Bal 01:00PM ET","Phi","Trey","Burton","Bal",6.82,2.1,6,0.0977596741344195,30,48,1,6,5,0.3,11.2,2.2,13.5,0
"TE","Darren Waller (7942181)","Darren Waller",7942181,2500,"Phi@Bal 01:00PM ET","Bal","Darren","Waller","Phi",2.6,0,11,0.0218181818181818,8,12,2,9,4,2.3,8.2,2.1,7.3,1
"TE","Nick Boyle (7942182)","Nick Boyle",7942182,2500,"Phi@Bal 01:00PM ET","Bal","Nick","Boyle","Phi",0,0,13,0.00909090909090909,5,5,0,12,9,4.4,4.5,0,4.5,0
"TE","Anthony Fasano (7942183)","Anthony Fasano",7942183,2500,"Ten@KC 01:00PM ET","Ten","Anthony","Fasano","KC",1.95,0,8,0.0360576923076923,7,15,2,9,6,-0.2,6,0,2.7,0
"TE","Beau Brinkley (7942186)","Beau Brinkley",7942186,2500,"Ten@KC 01:00PM ET","Ten","Beau","Brinkley","KC",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TE","James Winchester (7942187)","James Winchester",7942187,2500,"Ten@KC 01:00PM ET","KC","James","Winchester","Ten",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TE","James O'Shaughnessy (7942188)","James O'Shaughnessy",7942188,2500,"Ten@KC 01:00PM ET","KC","James","O'Shaughnessy","Ten",0,0,NA,NA,NA,NA,NA,NA,NA,0.9,1,0,NA,0
"TE","Ross Travis (7942189)","Ross Travis",7942189,2500,"Ten@KC 01:00PM ET","KC","Ross","Travis","Ten",0,0,10,0.0131578947368421,3,6,0,10,6,-0.3,2.6,0,NA,0
"TE","Demetrius Harris (7942190)","Demetrius Harris",7942190,2500,"Ten@KC 01:00PM ET","KC","Demetrius","Harris","Ten",2.22,1.2,8,0.0460526315789474,11,21,0,8,6,-0.2,5.2,0,NA,0
"TE","Jace Amaro (7942191)","Jace Amaro",7942191,2500,"Ten@KC 01:00PM ET","Ten","Jace","Amaro","KC",0,0,11,0.00961538461538462,3,4,0,11,10,8.9,8.9,0,NA,0
"TE","Phillip Supernaw (7942192)","Phillip Supernaw",7942192,2500,"Ten@KC 01:00PM ET","Ten","Phillip","Supernaw","KC",0,0,10,0.0144230769230769,4,6,1,10,8,0.5,4.6,0,NA,0
"TE","Brandon Pettigrew (7942193)","Brandon Pettigrew",7942193,2500,"Det@NYG 01:00PM ET","Det","Brandon","Pettigrew","NYG",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"TE","Clay Harbor (7942194)","Clay Harbor",7942194,2500,"Det@NYG 01:00PM ET","Det","Clay","Harbor","NYG",0,0,11,0.00626304801670146,3,3,0,10,8,0.8,4.1,0,NA,0
"TE","Matthew Mulligan (7942195)","Matthew Mulligan",7942195,2500,"Det@NYG 01:00PM ET","Det","Matthew","Mulligan","NYG",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"TE","Larry Donnell (7942196)","Larry Donnell",7942196,2500,"Det@NYG 01:00PM ET","NYG","Larry","Donnell","Det",0,0,7,0.0423387096774194,15,21,1,7,4,0.9,8.8,0,NA,0
"TE","Jerell Adams (7942199)","Jerell Adams",7942199,2500,"Det@NYG 01:00PM ET","NYG","Jerell","Adams","Det",2.71,2.1,10,0.032258064516129,12,16,1,9,4,0.4,7.5,4.8,3.1,0
"TE","Rhett Ellison (7942200)","Rhett Ellison",7942200,2500,"Ind@Min 01:00PM ET","Min","Rhett","Ellison","Ind",2.55,1.9,8,0.029723991507431,10,14,0,8,6,0.4,4.8,0,1,0
"TE","Kevin McDermott (7942202)","Kevin McDermott",7942202,2500,"Ind@Min 01:00PM ET","Min","Kevin","McDermott","Ind",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TE","Erik Swoope (7942205)","Erik Swoope",7942205,2500,"Ind@Min 01:00PM ET","Ind","Erik","Swoope","Min",2.11,0,10,0.0364372469635627,10,18,0,10,7,2.7,6.6,14,NA,0
"TE","David Morgan (7942206)","David Morgan",7942206,2500,"Ind@Min 01:00PM ET","Min","David","Morgan","Ind",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"TE","Darren Fells (7942207)","Darren Fells",7942207,2500,"NO@Ari 04:05PM ET","Ari","Darren","Fells","NO",2.3,1.6,8,0.0344827586206897,13,19,0,7,9,1.4,5,2.3,2.2,0
"TE","John Phillips (7942208)","John Phillips",7942208,2500,"NO@Ari 04:05PM ET","NO","John","Phillips","Ari",3.1,3,13,0.00369685767097967,2,2,0,12,11,-0.2,7.3,1.9,NA,0
"TE","Jermaine Gresham (7942209)","Jermaine Gresham",7942209,2500,"NO@Ari 04:05PM ET","Ari","Jermaine","Gresham","NO",8.9,7.6,5,0.0907441016333938,32,50,2,4,5,0.9,10.6,7.2,9.5,1
"TE","Hakeem Valles (7942211)","Hakeem Valles",7942211,2500,"NO@Ari 04:05PM ET","Ari","Hakeem","Valles","NO",0,0,12,0.00362976406533575,0,2,0,13,9,0,0,0,NA,0
"TE","Kyle Nelson (7942212)","Kyle Nelson",7942212,2500,"SF@Atl 04:05PM ET","SF","Kyle","Nelson","Atl",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TE","Levine Toilolo (7942215)","Levine Toilolo",7942215,2500,"SF@Atl 04:05PM ET","Atl","Levine","Toilolo","SF",4.04,1.7,10,0.033112582781457,11,15,2,10,6,-0.9,9.4,4,2.9,0
"TE","Blake Bell (7942216)","Blake Bell",7942216,2500,"SF@Atl 04:05PM ET","SF","Blake","Bell","Atl",4.7,6.3,11,0.0199501246882793,3,8,0,11,8,-0.2,3,5.5,4,0
"TE","Je'Ron Hamm (7942217)","Je'Ron Hamm",7942217,2500,"SF@Atl 04:05PM ET","SF","Je'Ron","Hamm","Atl",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,3.3,NA,0
"TE","Joshua Perkins (7942218)","Joshua Perkins",7942218,2500,"SF@Atl 04:05PM ET","Atl","Joshua","Perkins","SF",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1.8,NA,0
"TE","Austin Hooper (7942219)","Austin Hooper",7942219,2500,"SF@Atl 04:05PM ET","Atl","Austin","Hooper","SF",2.56,5.4,7,0.0618101545253863,19,28,2,7,6,0.5,10.7,7.9,1.5,1
"TE","Virgil Green (7942221)","Virgil Green",7942221,2500,"NE@Den 04:25PM ET","Den","Virgil","Green","NE",0,3.8,4,0.0670995670995671,18,31,0,5,8,1.5,8.3,1.9,NA,1
"TE","Matt Lengel (7942222)","Matt Lengel",7942222,2500,"NE@Den 04:25PM ET","NE","Matt","Lengel","Den",0,1.1,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"TE","A.J. Derby (7942223)","A.J. Derby",7942223,2500,"NE@Den 04:25PM ET","Den","A.J.","Derby","NE",0,5.9,9,0.0303030303030303,12,14,0,7,8,0.5,8.9,7.5,NA,0
"TE","Jeff Heuerman (7942224)","Jeff Heuerman",7942224,2500,"NE@Den 04:25PM ET","Den","Jeff","Heuerman","NE",0,0,14,0.00649350649350649,2,3,0,13,8,0.2,4.3,6,NA,0
"TE","Sean McGrath (7942226)","Sean McGrath",7942226,2500,"Oak@SD 04:25PM ET","SD","Sean","McGrath","Oak",0,0,12,0.00437636761487965,2,2,0,12,8,-0.2,2.4,0,NA,0
"TE","Mychal Rivera (7942227)","Mychal Rivera",7942227,2500,"Oak@SD 04:25PM ET","Oak","Mychal","Rivera","SD",4.23,1.8,7,0.0381679389312977,15,20,1,7,6,0.7,8.8,2.5,5.6,0
"TE","Clive Walford (7942228)","Clive Walford",7942228,2500,"Oak@SD 04:25PM ET","Oak","Clive","Walford","SD",6.8,5.1,4,0.0858778625954199,30,45,3,4,4,1.5,10.5,2.3,4.1,1
"TE","Asante Cleveland (7942229)","Asante Cleveland",7942229,2500,"Oak@SD 04:25PM ET","SD","Asante","Cleveland","Oak",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"TE","Clark Harris (7942231)","Clark Harris",7942231,2500,"Pit@Cin 01:00PM ET","Cin","Clark","Harris","Pit",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TE","David Johnson (7942232)","David Johnson",7942232,2500,"Pit@Cin 01:00PM ET","Pit","David","Johnson","Cin",0,0,11,0.0200400801603206,6,10,0,10,12,0.5,2.8,2.2,2.5,0
"TE","Ryan Hewitt (7942234)","Ryan Hewitt",7942234,2500,"Pit@Cin 01:00PM ET","Cin","Ryan","Hewitt","Pit",0,0,13,0.00421052631578947,1,2,0,13,6,1.5,1.5,0,NA,0
"TE","Tyler Ott (7942236)","Tyler Ott",7942236,2500,"Pit@Cin 01:00PM ET","Cin","Tyler","Ott","Pit",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TE","Xavier Grimble (7942237)","Xavier Grimble",7942237,2500,"Pit@Cin 01:00PM ET","Pit","Xavier","Grimble","Cin",0,0,9,0.0380761523046092,10,19,1,9,6,0.6,6.8,0,NA,0
"TE","Tyler Kroft (7942238)","Tyler Kroft",7942238,2500,"Pit@Cin 01:00PM ET","Cin","Tyler","Kroft","Pit",1.82,1.3,10,0.0231578947368421,10,11,0,9,6,0.6,5.8,0,NA,0
"TE","C.J. Uzomah (7942239)","C.J. Uzomah",7942239,2500,"Pit@Cin 01:00PM ET","Cin","C.J.","Uzomah","Pit",0,0,6,0.0610526315789474,17,29,0,7,6,3,9.1,0,NA,1
"TE","Jesse James (7942240)","Jesse James",7942240,2500,"Pit@Cin 01:00PM ET","Pit","Jesse","James","Cin",3.6,2.4,3,0.104208416833667,36,52,3,3,2,1.2,10.8,0,1.5,1
