"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B","Matt Davidson",3300,"CWS@LAA 10:07PM ET",7.167,"CWS","LAA",6.12,5.4,1.54,NA,"6","6",0
"1B","Danny Valencia",3300,"OAK@SEA 10:10PM ET",6.465,"SEA","OAK",6.94,6.8,6.78,NA,"6","5",6
"C","Travis d'Arnaud",3300,"NYM@ARI 09:40PM ET",6.318,"NYM","ARI",NA,0,1.78,NA,"x","x",NA
"OF","Jeremy Hazelbaker",3300,"NYM@ARI 09:40PM ET",2.952,"ARI","NYM",NA,0,NA,NA,"x","x",NA
"3B","Martin Prado",3300,"HOU@MIA 07:10PM ET",6.588,"MIA","HOU",NA,0,NA,NA,"x","x",NA
"OF","Norichika Aoki",3300,"HOU@MIA 07:10PM ET",5.24,"HOU","MIA",5.34,5.7,6.22,NA,"8","8",7
"2B/OF","Nick Franklin",3300,"MIL@SD 10:10PM ET",2.708,"MIL","SD",NA,6.2,1.8,NA,"x","6",2
"C","Jett Bandy",3300,"MIL@SD 10:10PM ET",7.873,"MIL","SD",5.19,5.3,6.98,NA,"6","7",2
"3B/OF","Cory Spangenberg",3300,"MIL@SD 10:10PM ET",5.8,"SD","MIL",6.25,6.5,6.84,NA,"2","2",21
"2B","Chris Taylor",3300,"LAD@SF 10:15PM ET",6.989,"LAD","SF",NA,6.9,7.39,NA,"6","7",15
"SS","Dansby Swanson",3200,"ATL@TOR 07:07PM ET",4.542,"ATL","TOR",5.99,5.6,6.29,NA,"9","9",14
"3B","Yunel Escobar",3200,"CWS@LAA 10:07PM ET",7.276,"LAA","CWS",NA,NA,NA,NA,"1","x",NA
"OF","Ben Revere",3200,"CWS@LAA 10:07PM ET",4.154,"LAA","CWS",NA,NA,NA,NA,"8","x",NA
