Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
235,1854,Domenik Hixon,WR,10,CAR,SF,0,0,0,0,0,1,9,0,0,0,0,0,1.90
236,11555,Jim Dray,TE,10,ARI,HOU,0,0,0,0,0,1,9,0,0,0,0,0,1.90
237,12831,Tyrod Taylor,QB,10,BAL,CIN,0,0,0,18,0,0,0,0,0,0,0,0,1.80
238,14533,Robert Turbin,RB,10,SEA,ATL,0,0,0,13,0,1,-5,0,0,0,0,0,1.80
239,11400,Andrew Quarless,TE,10,GB,PHI,0,0,0,0,0,1,8,0,0,0,0,0,1.80
240,11435,Michael Palmer,TE,10,PIT,BUF,0,0,0,0,0,1,8,0,0,0,0,0,1.80
241,8569,James Casey,TE,10,PHI,GB,0,0,0,0,0,1,8,0,0,0,0,0,1.80
242,8723,Matt Cassel,QB,10,MIN,WAS,47,0,0,-1,0,0,0,0,0,0,0,0,1.78
243,5511,Brent Celek,TE,10,PHI,GB,0,0,0,0,0,1,7,0,0,0,0,0,1.70
244,15509,Jaron Brown,WR,10,ARI,HOU,0,0,0,0,0,1,7,0,0,0,0,0,1.70
245,14641,Michael Egnew,TE,10,MIA,TB,0,0,0,0,0,1,7,0,0,0,0,0,1.70
246,1034,Matt Hasselbeck,QB,10,IND,LA,68,0,1,-1,0,0,0,0,0,0,0,0,1.62
247,7290,Felix Jones,RB,10,PIT,BUF,0,0,0,16,0,0,0,0,0,0,0,0,1.60
248,7635,Heath Miller,TE,10,PIT,BUF,0,0,0,0,0,1,6,0,0,0,0,0,1.60
249,14111,Rod Streater,WR,10,OAK,NYG,0,0,0,0,0,1,6,0,0,0,0,0,1.60
250,3,Craig Stevens,TE,10,TEN,JAX,0,0,0,0,0,1,6,0,0,0,0,0,1.60
251,13763,TJ Graham,WR,10,BUF,PIT,0,0,0,0,0,1,5,0,0,0,0,0,1.50
252,11594,Kyle Williams,WR,10,SF,CAR,0,0,0,0,0,1,5,0,0,0,0,0,1.50
253,11756,Benjamin Watson,TE,10,NO,DAL,0,0,0,0,0,1,5,0,0,0,0,0,1.50
