"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","ValueWR"
"TE","Nick Vannett (8080121)","Nick Vannett",8080121,2500,"Sea@Atl 04:35PM ET","Sea","Nick","Vannett","Atl",0,0,0,0,12,0.0075046904315197,0
"TE","Joshua Perkins (8080122)","Joshua Perkins",8080122,2500,"Sea@Atl 04:35PM ET","Atl","Joshua","Perkins","Sea",0,0,0,0,0,0,0
"TE","David Johnson (8080124)","David Johnson",8080124,2500,"Pit@KC 01:05PM ET","Pit","David","Johnson","KC",0,0,0,0,12,0.0180327868852459,0
"TE","James Winchester (8080127)","James Winchester",8080127,2500,"Pit@KC 01:05PM ET","KC","James","Winchester","Pit",0,0,0,0,0,0,0
"TE","James O'Shaughnessy (8080128)","James O'Shaughnessy",8080128,2500,"Pit@KC 01:05PM ET","KC","James","O'Shaughnessy","Pit",0,0,0,0,12,0.00736648250460405,0
"TE","Xavier Grimble (8080129)","Xavier Grimble",8080129,2500,"Pit@KC 01:05PM ET","Pit","Xavier","Grimble","KC",2.27,1.9,1.95175895748118,1.98819737960631,9,0.0360655737704918,0
"TE","Ross Travis (8080130)","Ross Travis",8080130,2500,"Pit@KC 01:05PM ET","KC","Ross","Travis","Pit",0,0,0,0,10,0.0110497237569061,0
"TE","Demetrius Harris (8080131)","Demetrius Harris",8080131,2500,"Pit@KC 01:05PM ET","KC","Demetrius","Harris","Pit",1.86,1.4,1.51001765838603,1.53555246962144,8,0.0570902394106814,0
"TE","Gavin Escobar (8080135)","Gavin Escobar",8080135,2500,"GB@Dal 04:40PM ET","Dal","Gavin","Escobar","GB",2.33,1.6,1.80410386679011,1.83185326624055,9,0.0120967741935484,0
"TE","Richard Rodgers (8080136)","Richard Rodgers",8080136,2500,"GB@Dal 04:40PM ET","GB","Richard","Rodgers","Dal",4.39,4.1,4.01664662660461,4.09884392180628,6,0.0757097791798107,0
